metric,group,colsum,std,entropy,divergence,weight_entropy,weight_entropy_eps,weight_equal,is_all_zero,is_constant,degenerate,weight_entropy_verify,weight_entropy_decorrelated,corr_max_abs,corr_partner
fineweb_edu,educational_value,9948.920734246702,0.12788354518205095,0.9947820084525503,0.00521799154744973,0.018195957378117023,0.018531395513555635,0.045454545454545456,False,False,False,0.018389050440690738,0.018363838660146667,0.5634550053536345,qurater
fluency_en,language_quality,19256.821977764794,0.29829107425092927,0.989847122790198,0.010152877209801958,0.03540467999897463,0.036117942229899135,0.045454545454545456,False,False,False,0.03515507961580743,0.03573133404330787,0.507956105319072,qurater
ad_en,cleanliness,23538.563302082664,0.19432559700056853,0.9966994541448863,0.0033005458551137457,0.011509522611918163,0.011740196200045369,0.045454545454545456,False,False,False,0.011444509172638173,0.011615712870088463,0.3378651762910259,rps_lines_ending_with_terminal_punctution_mark
qurater,professionalism,12329.253643841197,0.13639939247399555,0.9960432824301017,0.003956717569898349,0.013797696604990665,0.014065877004958155,0.045454545454545456,False,False,False,0.013764508882833162,0.013924998232872451,0.5746615533092064,modernbert_readability
modernbert_cleanliness,cleanliness,16828.06589934178,0.29990358989207877,0.9869668151169249,0.013033184883075144,0.0454487659623483,0.046298547597478965,0.045454545454545456,False,False,False,0.04489408066091512,0.045868089713106276,0.6174900905536883,modernbert_readability
modernbert_readability,language_quality,19126.41804131535,0.22396695425009297,0.9947233963560121,0.005276603643987854,0.018400346979125678,0.018780420906542618,0.045454545454545456,False,False,False,0.018133723579195505,0.018570114020037793,0.6174900905536883,modernbert_cleanliness
modernbert_reasoning,professionalism,9044.660091827183,0.24899919377026675,0.9777492837793117,0.022250716220688305,0.07759174776396512,0.07892554641266411,0.045454545454545456,False,False,False,0.07734700685109777,0.07830763216723377,0.5701824944585671,dsir_wiki
modernbert_professionalism,professionalism,11819.126838142525,0.3497770499638334,0.9660329578051479,0.03396704219485214,0.11844841955336387,0.1204272141602704,0.045454545454545456,False,False,False,0.11661840624629072,0.11954125968899303,0.5149277329016423,modernbert_reasoning
dsir_books,domain_relevance,15066.578373842836,0.09771372683358527,0.99855080488201,0.0014491951179900209,0.005053571352067379,0.0051553035864157154,0.045454545454545456,False,False,False,0.004956690673244493,0.005100197095345591,0.9989541220634621,dsir_wiki
dsir_math,domain_relevance,15280.86053317965,0.09291320090850802,0.998745860292415,0.0012541397075850336,0.004373382451448148,0.004461837512581392,0.045454545454545456,False,False,False,0.004308996936346708,0.0,0.9963150964976867,dsir_wiki
dsir_wiki,domain_relevance,15306.9819674515,0.09655915922008833,0.9986325346336565,0.0013674653663434677,0.004768566851013404,0.004864881079023125,0.045454545454545456,False,False,False,0.004681110187807116,0.0,0.9989541220634622,dsir_books
rps_doc_word_count,structure_format,19083.898187963798,0.3531507127282144,0.9829936112987138,0.017006388701286235,0.059303952708688525,0.06027309049053479,0.045454545454545456,False,False,False,0.05925782826676676,0.059851108508368146,0.6758122741638859,rps_doc_num_sentences
rps_doc_num_sentences,structure_format,18642.409187726487,0.36489872511365795,0.9809613237132941,0.019038676286705858,0.06639085922206632,0.06744173163040681,0.045454545454545456,False,False,False,0.06559607041145513,0.06700340091633597,0.6758122741638859,rps_doc_word_count
rps_doc_unigram_entropy,lexical_information,14802.766753141652,0.11056754130550392,0.9980737033875428,0.0019262966124572456,0.00671729931701675,0.006851303967108407,0.045454545454545456,False,False,False,0.006693232105952729,0.006779275106346409,0.8230949279658903,dsir_math
rps_doc_frac_unique_words,lexical_information,13854.049819721986,0.17252460336916722,0.9946692723348751,0.005330727665124879,0.018589085955183035,0.01895490898800167,0.045454545454545456,False,False,False,0.018534188167689612,0.01876059435768504,0.8400362272325028,dsir_math
rps_doc_frac_no_alph_words,lexical_information,19223.443744980083,0.14384705931868902,0.9971775813549973,0.0028224186450026556,0.009842217815161359,0.010012750058202074,0.045454545454545456,False,False,False,0.01033723295121818,0.00993302502637254,0.4116762367330209,fluency_en
rps_doc_frac_chars_top_2gram,lexical_information,24936.493479787234,0.03207906583774941,0.9999423286834327,5.767131656730928e-05,0.00020110895325454024,0.00020538239952946614,0.045454545454545456,False,False,False,0.0001978943862760393,0.0002029644439109767,0.5546318376665249,rps_doc_frac_chars_top_3gram
rps_doc_frac_chars_top_3gram,lexical_information,25248.326922304757,0.021324905492452074,0.9999743702706005,2.5629729399456735e-05,8.937489827731087e-05,9.123276852204351e-05,0.045454545454545456,False,False,False,8.939312047915343e-05,9.019949751066084e-05,0.554631837666525,rps_doc_frac_chars_top_2gram
rps_doc_mean_word_length,structure_format,18919.876808318884,0.3582192706892314,0.9823534579082019,0.017646542091798056,0.06153626828514882,0.06254744652411644,0.045454545454545456,False,False,False,0.06214786607390379,0.06210402008827488,0.38286148799754455,modernbert_readability
rps_lines_uppercase_letter_fraction,structure_format,5933.953431638734,0.16803324106865875,0.9723816866413018,0.027618313358698243,0.09630940337110515,0.09759794832924865,0.045454545454545456,False,False,False,0.0974137746357402,0.09719798239849374,0.3121376916769208,ad_en
rps_lines_numerical_chars_fraction,structure_format,879.512648980881,0.05692844204585427,0.9223217912031942,0.07767820879680576,0.27087613378100617,0.2584103892046909,0.045454545454545456,False,False,False,0.2726563769073206,0.27337531707020635,0.19263515129882136,rps_doc_frac_no_alph_words
rps_lines_ending_with_terminal_punctution_mark,structure_format,13974.39572110563,0.30361691397242035,0.9836108230647516,0.01638917693524844,0.05715163818575967,0.05824465343620417,0.045454545454545456,False,False,False,0.057382979726330885,0.0576789360953634,0.5121721957560391,modernbert_professionalism
